"external_id","perc_videos"
"00c2c",1
"023ce",0.82312925170068
"0d293",0.925170068027211
"27e23",0.993197278911565
"343ab",0.775510204081633
"365cd",0.775510204081633
"3adab",0.925170068027211
"3fe63",0.462585034013605
"40c71",0.91156462585034
"4d5eb",0.755102040816326
"50bf3",0.755102040816326
"54ed7",0.918367346938776
"5542e",0.857142857142857
"559e2",0.945578231292517
"57ea9",0.952380952380952
"5870e",0.877551020408163
"5aa56",0.870748299319728
"5c3d1",0.965986394557823
"7d03b",0.986394557823129
"88df4",1
"898c1",0.829931972789116
"8a560",0.891156462585034
"8caa8",0.836734693877551
"9d7d1",0.931972789115646
"a711f",1
"b7150",0.904761904761905
"bb4ea",0.965986394557823
"bb8d0",0.843537414965986
"bd209",1
"c05b7",1
"c42b6",0.986394557823129
"c565b",0.938775510204082
"d45b5",0.972789115646258
"f0ed7",0.836734693877551
"f1308",0.863945578231292
"f75f6",0.945578231292517
"f7c29",0.891156462585034
"f865c",0.802721088435374
