"","external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"35","f1308","3",5,5,5,5,2,2,7,2,3,25,38,"Moja opinia dotyczy filmików z piątku i soboty, kiedy to były filmy o gorszej jakości w porównaniu do filmów o wspaniałej jakości w pozostałe dni.","5,5,5,5,2,2"
"36","f75f6","3",5,5,5,5,2,2,7,2,4,25,38,"Pn 20.03 jakość super 
Wt - średnia
Śr - super 
Czw - super
Pt - średnia
Sb - średnia","5,5,5,5,2,2"
"37","00c2c","4",2,2,5,5,5,5,7,2,4,21,32,"Jeden filmik słaba jakość","2,2,5,5,5,5"
"38","57ea9","4",2,2,5,5,NA,5,6,2,5,21,32,"Poniedziałek i wtorek dobra reszta wspaniała","2,2,5,5,NA,5"
"39","7d03b","4",2,2,5,5,5,5,7,2,4,21,32,"Przez 4 z 6 dni w tygodniu była bardzo dobra jakość, dwa dni była słabsza","2,2,5,5,5,5"
"40","88df4","4",2,2,5,5,5,5,7,2,3,21,32,"Chyba dwa lub trzy filmy na początku tygodnia były złej jakosci Potem jakość była bardzo dobra Dlatego ogólna ocena uwzględnia również te filmy z początku tygodnia","2,2,5,5,5,5"
"41","bb4ea","4",2,2,5,5,5,5,7,2,3,21,32,"Na początku tygodnia jakoś była słaba.","2,2,5,5,5,5"
"42","c42b6","4",2,2,5,5,5,5,7,2,5,21,32,"Jeden film z początku tygodnia miał słabszą jakość. Pozostałe filmy bardzo dobra jakość","2,2,5,5,5,5"
"43","d45b5","4",2,2,5,5,5,5,7,2,3,21,32,"Początkowe filmiki były słabej jakoś, późniejsze już w bardzo dobrej.","2,2,5,5,5,5"
"44","f1308","4",2,2,5,5,5,5,7,2,5,21,32,"Opinia dotyczy tylko filmów od środy do soboty włącznie. Jeśli dobrze pamiętam, film z poniedziałku i wtorku był o wiele gorszej jakości. Mam też wrażenie, że czasami filmy się delikatnie przycinają (nie są płynne), ale niestety nie jestem w stanie wskazać, które to były dokładnie.","2,2,5,5,5,5"
"45","f75f6","4",2,2,5,5,5,5,7,2,5,21,32,"W poniedziałek i wtorek tylko była gorsza","2,2,5,5,5,5"
"46","f865c","4",2,2,5,5,5,5,7,2,4,21,32,"Większość filmów raczej dobrej jakości. Chociaż w 1 albo 2 dniach była słaba.","2,2,5,5,5,5"
"47","3fe63","5",4,NA,2,2,4,4,6,2,4,28,35,"Jakość była mieszana, na początku tygodnia bardzo dobra, potem słabsza, a potem znów lepsza, przynajmniej takie mam wrażenie. Trudno wystawić jedną ocenę.","4,NA,2,2,4,4"
"48","57ea9","5",4,4,2,2,NA,4,6,2,5,28,35,"Środa czwartek jakość dobra reszta dni wspaniała","4,4,2,2,NA,4"
"49","88df4","5",4,4,2,2,4,4,7,2,3,28,35,"Były dwa filmy gorszej jakości o ile pamiętam w środku tygodnia","4,4,2,2,4,4"
"50","898c1","5",4,4,2,2,4,4,7,2,3,28,35,"Większość tygodnia jakość średnia, piątek i Sobota jakość dobra","4,4,2,2,4,4"
"51","c42b6","5",4,4,2,2,4,4,7,2,5,28,35,"Dwa filmy były gorszej jakości","4,4,2,2,4,4"
"52","c565b","5",4,4,2,2,4,4,7,2,3,28,35,"Podtrzymuję, że nie da się ocenić kilku filmów naraz, w momencie gdy ich jakość różni się czasami diametralnie.","4,4,2,2,4,4"
"53","d45b5","5",4,4,2,2,4,4,7,2,3,28,35,"Niektóre filmy były w dobrej jakości, inne bardzo słabe. Ogólnie jedna wypadają umiarkowanie","4,4,2,2,4,4"
"54","f1308","5",4,4,2,2,4,4,7,2,4,28,35,"Wydaje mi się, że w środę i czwartek filmy były złej jakości, w pozostałe dni była dobra jakość, ale nie najlepsza.","4,4,2,2,4,4"
"55","f865c","5",4,4,2,2,4,4,7,2,4,28,35,"Jakość zależnie od dnia","4,4,2,2,4,4"
"56","7d03b","6",4,4,4,4,2,2,7,2,4,23,36,"Poniedziałek - czwartek: dobra jakość 
Piątek- sobota: zła jakość","4,4,4,4,2,2"
"57","88df4","6",4,4,4,4,2,2,7,2,3,23,36,"Filmiki na początku tygodnia były dobrej jakości ostatnie dwa słabej Obraz był rozpikselowany i nieostry","4,4,4,4,2,2"
"58","bb4ea","6",4,4,4,4,2,2,7,2,4,23,36,"Pod koniec tygodnia jakoś była lepsza.","4,4,4,4,2,2"
"59","f1308","6",4,4,4,4,NA,2,6,1,1,23,36,"Jeśli dobrze pamiętam, początkiem tygodnia wyświetlane filmy były złej jakości. W sobotę była o wiele lepsza jakość, ale nie jestem w stanie powiedzieć jaka dokładnie.","4,4,4,4,NA,2"
"60","f75f6","6",4,4,4,4,2,2,7,2,4,23,36,"Pn wspaniała
Wt - wspaniała
Śr - wspaniała 
Czw -dobra
Pt - zła
SB - zła","4,4,4,4,2,2"
"61","40c71","7",2,2,4,4,4,4,7,2,4,26,35,"Jakosc filmow poprawiala sie w ciagu tygodnia: pon 3/5, wt 3/5, śr 4/5, czw 4/5, pt 5/5","2,2,4,4,4,4"
"62","57ea9","7",2,2,4,4,4,4,7,2,5,26,35,"Poniedziałek i wtorek dobra reszta wspaniała","2,2,4,4,4,4"
"63","7d03b","7",2,2,4,4,4,4,7,2,4,26,35,"Poniedziałek-Wtorek - słaba jakość 
Środa- Sobota - dobra jakość","2,2,4,4,4,4"
"64","88df4","7",2,2,4,4,4,4,7,2,3,26,35,"Filmiki na początku tygodnia były złej jakości chyba od środy  jakość była dobra stąd ogólna ocena z uwzględnieniem tych gorszych","2,2,4,4,4,4"
"65","c05b7","7",2,2,4,4,4,4,7,2,5,26,35,"W poniedziałek i wtorek jakość filmów była średnia, w pozostałe dni wspaniała.","2,2,4,4,4,4"
"66","c42b6","7",2,2,4,4,4,NA,6,2,5,26,35,"Większość filmików była b. dobrej jakości","2,2,4,4,4,NA"
"67","d45b5","7",2,2,4,4,4,4,7,2,3,26,35,"Pierwsze filmiki były słabe; późniejsze w dobrej jakości","2,2,4,4,4,4"
"68","f1308","7",2,NA,4,4,NA,4,5,1,5,26,35,"Jeśli dobrze pamiętam, początkiem tygodnia filmy były znacznie gorsze.","2,NA,4,4,NA,4"
"69","f75f6","7",2,2,4,4,4,4,7,2,4,26,35,"Pn zła
Wt zła 
Śr wspaniała
Czw - wspaniała
Pt - dobra
SB wspaniała","2,2,4,4,4,4"
"70","3fe63","8",2,NA,5,5,2,NA,5,2,3,20,33,"Znowu mam wrażenie, że jakość była zmienna, więc trudno dać jednoznaczną ocenę; czasem obraz był bez wad, a czasem (chyba częściej) był średni, gorszy.","2,NA,5,5,2,NA"
"71","57ea9","8",2,2,5,5,2,2,7,4,4,20,33,"Środa i czwartek wspaniała reszta dobra","2,2,5,5,2,2"
"72","88df4","8",2,2,5,5,2,2,7,4,2,20,33,"Większość filmików nie była dobrej jakości słaba ostrość, trochę rozmazany obraz","2,2,5,5,2,2"
"73","c42b6","8",2,2,5,5,2,2,7,4,4,20,33,"Początek tygodnia jakość znaczenie gorsza. Od połowy już bardzo dobra.","2,2,5,5,2,2"
"74","c565b","8",2,2,5,5,2,NA,6,3,3,20,33,"…","2,2,5,5,2,NA"
"75","f1308","8",NA,2,5,5,2,NA,5,2,3,20,33,"Ciężko jest mi w tym momencie ocenić jakość wyświetlanych filmów. Mam wrażenie, że początkiem tygodnia były wyświetlane filmy o słabej jakości i tak samo pod koniec tego tygodnia. Natomiast już w środku tygodnia wyświetlane filmy były bardzo dobrej jakości.","NA,2,5,5,2,NA"
"76","023ce","9",2,NA,2,2,5,5,6,3,3,21,32,"filmy w każdym dniu miały różną jakość, wiec ciężkie jest ocenienie jakosci wszystkich na raz","2,NA,2,2,5,5"
"77","57ea9","9",2,2,2,2,5,5,7,4,4,21,32,"Piątek i sobotę wspaniała reszta dni dobra","2,2,2,2,5,5"
"78","7d03b","9",2,2,2,2,5,5,7,4,2,21,32,"Poniedziałek - Czwartek: słaba jakość 
Piątek - Sobota: umiarkowana jakość","2,2,2,2,5,5"
"79","88df4","9",2,2,2,2,5,5,7,4,2,21,32,"Filmiki były złej jakości obraz rozmyty i nieostry","2,2,2,2,5,5"
"80","c42b6","9",2,2,2,2,5,5,7,4,3,21,32,"Zaczęły się pojawiać powiadomienia o dostępnym video 🙂","2,2,2,2,5,5"
