"","external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"155","f1308","20",5,5,5,5,2,2,7,2,3,19,28,"Wyświetlane filmy początkiem tygodnia były wspaniałej jakości, a może 2/3 pod koniec tygodnia już były złej jakości","5,5,5,5,2,2"
"156","f75f6","20",5,5,5,5,2,2,7,2,3,19,28,"Pn -  wspaniała
Wt - dobra
Śr - dobra 
Czw - bardzo dobra 
Pt - zła
SB - zła","5,5,5,5,2,2"
"157","57ea9","21",2,2,2,NA,4,4,6,3,4,17,29,"Piątek i sobota wspaniała reszta dobra","2,2,2,NA,4,4"
"158","88df4","21",2,2,2,2,4,4,7,4,2,17,29,"Zdecydowana większość filmów złej jakości tylko ostatnie dwa były wyraźne","2,2,2,2,4,4"
"159","c42b6","21",2,2,2,2,4,4,7,4,4,17,29,"Ostatnie dwa filmy jakość wspaniała, jednak wcześniej były filmy złej jakości.","2,2,2,2,4,4"
"160","f1308","21",2,2,2,2,4,4,7,4,3,17,29,"Przez większość tygodnia wyświetlane filmy były słabej jakości (prawie najniższej). Jeśli dobrze pamiętam, w piątek była dobra jakość (prawie najwyższa), a w sobotę wspaniała (najwyższa).","2,2,2,2,4,4"
"161","40c71","22",5,5,2,2,2,2,7,4,3,22,30,"Często pojawiają się motywy płynów","5,5,2,2,2,2"
"162","57ea9","22",5,5,2,2,2,2,7,4,4,22,30,"Poniedziałek i wtorek wspaniała reszta dobra","5,5,2,2,2,2"
"163","88df4","22",5,5,2,2,2,2,7,4,2,22,30,"Może tylko dwa filmiki były dobrej jakości te z początku tygodnia. Natomiast pozostałe były nieostre a obraz rozmazany.","5,5,2,2,2,2"
"164","c42b6","22",5,5,2,2,2,2,7,4,4,22,30,"Większość filmów miała jakość wyjątkową. Było kilka słabych jakościowo filmów.","5,5,2,2,2,2"
"165","f1308","22",5,5,2,2,2,2,7,4,3,22,30,"O ile dobrze pamiętam, tylko we wtorek wyświetlany film był w jakości dobrej (tej prawie najwyższej), a przez resztę tygodnia filmy były mieszane - albo w złej, albo słabej jakości.","5,5,2,2,2,2"
"166","f75f6","22",5,5,2,2,2,2,7,4,1,22,30,"Pn -  dobra
Wt- bardzo dobra
Śr - zła
Czw - zła
Pt - zła
SB - zła","5,5,2,2,2,2"
"167","023ce","23",4,4,4,4,2,2,7,2,3,22,30,"filmy jednego dnia są bardzo dobrej jakości a drugiego słabej, przez co ocenianie całego tygodnia jest ciężkie","4,4,4,4,2,2"
"168","57ea9","23",4,4,4,4,2,2,7,2,5,22,30,"Piątek i sobotę dobra reszta wspaniała","4,4,4,4,2,2"
"169","88df4","23",4,4,4,4,2,2,7,2,5,22,30,"Tylko jeden filmik był nieco gorszej jakości pozostałe bardzo dobrej","4,4,4,4,2,2"
"170","c05b7","23",4,4,4,4,2,2,7,2,3,22,30,"Do czwartku jakość filmów była bardzo dobra, w piątek beznadziejna, a w sobotę słaba.","4,4,4,4,2,2"
"171","d45b5","23",4,4,4,4,2,2,7,2,4,22,30,"Tylko w dwa ostatnie dni jakoś filmików była słaba. W pozostałe bardzo dobra","4,4,4,4,2,2"
"172","f1308","23",4,4,4,4,2,2,7,2,3,22,30,"Jakość wyświetlanych filmów przez większość dni w tym tygodniu była wspaniała (najwyższa). Jak dobrze pamiętam, w piątek była zła jakość (najniższa), a w sobotę słaba (prawie najniższa).","4,4,4,4,2,2"
"173","f75f6","23",4,4,4,4,2,2,7,2,3,22,30,"Pn -  umiarkowana 
Wt - umiarkowana
Śr - umiarkowana
Czw - umiarkowana 
Piątek - zła
Sb - zła","4,4,4,4,2,2"
"174","023ce","24",NA,2,5,NA,NA,NA,3,1,3,19,31,"Jakość każdego dnia jest inna","NA,2,5,NA,NA,NA"
"175","57ea9","24",2,2,5,5,2,2,7,4,4,19,31,"Środa i czwartek wspaniała reszta dobra","2,2,5,5,2,2"
"176","88df4","24",2,2,5,5,2,2,7,4,2,19,31,"Większość filmów złej jakości choć nie wszystkie Dwa filmy miały jakość bardzo dobrą","2,2,5,5,2,2"
"177","f1308","24",2,NA,5,5,2,2,6,3,3,19,31,"W tym tygodniu wyświetlane filmy były chyba we wszystkich możliwych jakościach. Nie jestem w stanie powiedzieć w jakie dni były jaka jakość.","2,NA,5,5,2,2"
"178","57ea9","25",2,2,5,NA,5,5,6,2,4,18,32,"Piątek i sobota wspaniała reszta dobra","2,2,5,NA,5,5"
"179","88df4","25",2,2,5,5,5,5,7,2,4,18,32,"Większość filmików bardzo dobrej jakości  Tylko te z początku tygodnia miały złą jakość","2,2,5,5,5,5"
"180","f1308","25",2,2,5,5,5,5,7,2,3,18,32,"Od poniedziałku do piątku jakość wyświetlanych filmów zwiększała się od najniższej do najwyższej. W sobotę również była najwyższa jakość.","2,2,5,5,5,5"
