"external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"5c3d1",2,5,5,2,2,5,5,7,2,4,31,36,NA,"5,5,2,2,5,5"
"7d03b",2,5,5,2,2,5,5,7,2,4,31,36,"Poniedziałek, wtorek, piątek i sobota - dobra jakość,
Środa i czwartek - zła jakość","5,5,2,2,5,5"
"88df4",2,5,5,2,2,5,5,7,2,3,31,36,"Było kilka filmów złej jakości z nieostrym i rozmytym obrazem  co wpłynęło na ogólną ocenę","5,5,2,2,5,5"
"898c1",2,5,5,2,2,5,5,7,2,5,31,36,"Na początku tygodnia jakość słabsza jednak w pozostałe dni jakość była bardzo dobra","5,5,2,2,5,5"
"8a560",2,5,5,2,2,5,5,7,2,3,31,36,NA,"5,5,2,2,5,5"
"8caa8",2,5,NA,2,2,5,5,6,2,3,31,36,NA,"5,NA,2,2,5,5"
"9d7d1",2,5,5,2,2,5,5,7,2,3,31,36,NA,"5,5,2,2,5,5"
"a711f",2,5,5,2,2,5,5,7,2,4,31,36,NA,"5,5,2,2,5,5"
"b7150",2,5,5,2,NA,5,5,6,1,5,31,36,NA,"5,5,2,NA,5,5"
"bb4ea",2,5,NA,2,2,5,5,6,2,4,31,36,"Niektóre filmy miały słabą jakość, ale ogólnie większość była wspaniała, stąd ocena jest tego wypadkową.","5,NA,2,2,5,5"
"bb8d0",2,5,5,2,2,5,5,7,2,5,31,36,NA,"5,5,2,2,5,5"
"bd209",2,5,5,2,2,5,5,7,2,3,31,36,NA,"5,5,2,2,5,5"
"c05b7",2,5,5,2,2,5,5,7,2,5,31,36,NA,"5,5,2,2,5,5"
"c42b6",2,5,5,2,2,5,5,7,2,5,31,36,NA,"5,5,2,2,5,5"
"c565b",2,5,5,2,2,5,5,7,2,4,31,36,NA,"5,5,2,2,5,5"
"d45b5",2,5,5,2,2,5,5,7,2,4,31,36,"Jakość była różna w poszczególnych dniach. Średnio jednak była ona dobra","5,5,2,2,5,5"
"f0ed7",2,5,5,2,2,5,5,7,2,4,31,36,NA,"5,5,2,2,5,5"
"f1308",2,5,5,2,2,5,5,7,2,5,31,36,"Wydaje mi się, że w tym tygodniu, tak jak i w poprzednim, filmiki w środę i czwartek były gorszej jakości niż w pozostałe dni. Przez resztę dni wyświetlane były filmy o najwyższej jakości.","5,5,2,2,5,5"
"f75f6",2,5,5,2,2,5,5,7,2,3,31,36,"Pn 13.03 jakość super 
Wt - dobra
Śr - zła 
Czw - zła
Pt - dobra
SB - dobra","5,5,2,2,5,5"
"f7c29",2,5,5,2,2,5,5,7,2,4,31,36,NA,"5,5,2,2,5,5"
"f865c",2,5,5,2,2,5,5,7,2,4,31,36,"Zależnie od dnia - czasem jakość była świetna, czasem słaba.","5,5,2,2,5,5"
"00c2c",3,5,5,5,5,2,2,7,2,5,25,38,NA,"5,5,5,5,2,2"
"023ce",3,5,NA,5,NA,2,2,5,2,3,25,38,"jakość filmów różni się z dnia na dzień więc ciężko jednoznacznie ocenić jakość z całego tygodnia","5,NA,5,NA,2,2"
"0d293",3,5,5,5,5,2,2,7,2,4,25,38,NA,"5,5,5,5,2,2"
"27e23",3,5,5,5,5,2,2,7,2,4,25,38,NA,"5,5,5,5,2,2"
"343ab",3,5,5,5,5,2,NA,6,1,4,25,38,"Oglądałem film z danego dnia przed samą północą i przez to następnego dnia nie miałem filmu.","5,5,5,5,2,NA"
"365cd",3,5,5,5,5,2,2,7,2,5,25,38,"W sobotę film był słabej jakości ale reszta była w świetnej","5,5,5,5,2,2"
"3adab",3,5,5,5,5,2,2,7,2,3,25,38,"Wczoraj 25.03 filmik był słabej jakości","5,5,5,5,2,2"
"3fe63",3,5,5,5,NA,2,2,6,2,3,25,38,NA,"5,5,5,NA,2,2"
