"week","n_votes","mos","sd"
1,38,4.05263157894737,0.612807823191747
2,36,4,0.755928946018454
3,38,3.73684210526316,0.759950586100417
4,32,4.1875,0.692703911983626
5,35,3.62857142857143,0.731063459292424
6,36,3.58333333333333,0.906326967174966
7,35,4.11428571428571,0.529785115785224
8,33,3.03030303030303,0.769937030089494
9,32,3.1875,0.692703911983626
10,37,2.89189189189189,0.875080433883518
11,32,3.09375,0.689056156707691
12,33,3.12121212121212,0.819968587720581
13,31,2.80645161290323,0.703294857022272
14,36,3.55555555555556,0.734630886692453
15,34,2.41176470588235,0.656789577429185
16,34,3.52941176470588,0.748140892485441
17,34,3.26470588235294,0.827878761780234
18,31,2.64516129032258,0.984831190163207
19,32,3.375,0.793115538912532
20,28,3.42857142857143,0.690065559342354
21,29,3.41379310344828,0.945562620851067
