"file","si","ti","content_type"
"4.0_4phreal_widoki77.json","116.839","26.083","0"
"4.0_4phreal_widoki78.json","68.789","18.887","0"
"4.0_4phreal_widoki79.json","76.148","14.711","0"
"4.0_4phreal_widoki80.json","68.97","14.852","0"
"4.0_4phreal_widoki81.json","108.903","21.598","0"
"4.0_slowmo2_113n.json","26.274","6.937","1"
"5.0_4phreal_widoki001.json","75.233","14.518","0"
"5.0_4phreal_widoki002.json","77.866","14.61","0"
"5.0_4phreal_widoki005.json","78.016","15.811","0"
"5.0_4phreal_widoki006.json","86.847","20.122","0"
"5.0_4phreal_widoki08.json","56.516","11.096","0"
"5.0_4phreal_widoki09.json","93.256","24.847","0"
"5.0_4phreal_widoki12.json","57.006","13.909","0"
"5.0_4phreal_widoki13.json","103.417","23.67","0"
"5.0_4phreal_widoki15.json","70.571","17.981","0"
"5.0_4phreal_widoki16.json","82.948","15.873","0"
"5.0_4phreal_widoki19.json","90.631","20.516","0"
"5.0_4phreal_widoki20.json","83.579","10.738","0"
"5.0_4phreal_widoki24.json","48.599","5.385","0"
"5.0_4phreal_widoki25.json","133.092","17.83","0"
"5.0_4phreal_widoki26.json","135.196","29.145","0"
"5.0_4phreal_widoki27.json","70.921","15.62","0"
"5.0_4phreal_widoki36.json","63.278","11.47","0"
"5.0_4phreal_widoki37.json","51.069","14.783","0"
"5.0_4phreal_widoki38.json","21.82","3.532","0"
"5.0_4phreal_widoki39.json","35.365","3.357","0"
"5.0_4phreal_widoki62.json","93.396","22.943","0"
"5.0_4phreal_widoki63.json","84.213","18.385","0"
"5.0_slowmo2_136nn.json","49.811","10.64","1"
"5.0_slowmo2_139nn.json","38.609","4.994","1"
"5.0_slowmo2_175nn.json","48.935","5.801","1"
"5.0_slowmo2_176.json","43.751","11.797","1"
