"external_id","date","video","q1","q2"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-20T09:20:34.955000+02:00","031_vmaf99_zenek.mp4","4","4"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-21T09:35:39.028000+02:00","032_vmaf99_psy3.mp4","5","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-22T12:26:20.343000+02:00","033_vmaf99_25lat.mp4","2","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-23T07:14:34.510000+02:00","034_vmaf99_jaknajdalej.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-24T14:20:13.256000+02:00","035_vmaf99_snieg.mp4","1","4"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-25T06:23:46.454000+02:00","036_vmaf99_magnezja.mp4","3","4"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-26T09:12:36.570000+02:00","037_vmaf99_quebo.mp4","5","2"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-27T10:07:10.490000+02:00","038_vmaf99_komers.mp4","4","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-28T08:03:47.610000+02:00","039_vmaf99_sweat.mp4","2","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-29T05:03:04.056000+02:00","040_vmaf99_banksterzy.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-30T06:52:41.966000+02:00","041_vmaf99_polot.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-05-31T06:43:36.029000+02:00","042_vmaf99_zieja.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-01T10:11:11.371000+02:00","043_vmaf99_lato.mp4","4","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-02T07:13:15.668000+02:00","044_vmaf99_samobojcy.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-03T14:29:17.916000+02:00","045_vmaf95_underdog.mp4","5","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-04T07:36:00.961000+02:00","046_vmaf90_kobietymafii2.mp4","1","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-06T20:56:58.418000+02:00","048_vmaf80_gangsterem.mp4","4","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-07T20:51:26.361000+02:00","049_vmaf75_polityka.mp4","5","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-08T06:07:47.921000+02:00","050_vmaf70_kurier.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-09T07:09:50.219000+02:00","051_vmaf65_pilsudzki.mp4","2","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-10T10:36:49.310000+02:00","052_vmaf60_milionera.mp4","3","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-11T16:45:30.149000+02:00","053_vmaf55_mercedes.mp4","4","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-12T10:13:09.153000+02:00","054_vmaf50_szczescie.mp4","2","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-13T06:53:32.384000+02:00","055_vmaf45_amatorzy.mp4","1","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-14T20:52:10.196000+02:00","056_vmaf40_gold.mp4","1","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-15T05:54:12.131000+02:00","057_vmaf35_samiecalfa.mp4","4","3"
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-16T12:51:46.209000+02:00","058_vmaf30_wyszynski.mp4",NA,NA
"00c2c4324159abc367ef3965cbed6f730965fb686f4eb20932c6cbd94b04ab54","2022-06-17T08:09:36.413000+02:00","059_vmaf25_sciema.mp4",NA,NA
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-23T20:26:46.727000+02:00","032_vmaf99_psy3.mp4","4","4"
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-24T19:21:25.135000+02:00","033_vmaf99_25lat.mp4","5","4"
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-26T18:14:39.383000+02:00","035_vmaf99_snieg.mp4","5","5"
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-27T23:12:57.424000+02:00","036_vmaf99_magnezja.mp4","3","4"
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-28T11:10:09.120000+02:00","037_vmaf99_quebo.mp4","5","4"
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-29T22:40:10.439000+02:00","038_vmaf99_komers.mp4","5","5"
"023ce0e55c3466b9701883629c82cdccb681d1135a0111f4e28dee67306a59ef","2022-06-30T20:12:34.246000+02:00","039_vmaf99_sweat.mp4","5","4"
