"video","mos_lts","std_lts","mos_fb","std_fb"
"1080p_clip_10_codec_1_quality_3",2.82352941176471,0.833778847042428,2.81066045373466,0.094073012090617
"1080p_clip_10_codec_2_quality_1",1.59375,0.665237042399659,1.41764037017188,0.088124046312063
"1080p_clip_10_codec_3_quality_2",2.48387096774194,0.961629441518769,2.31611044771523,0.091268665160797
"1080p_clip_10_codec_3_quality_4",3.52777777777778,0.970599552886509,3.16463104080298,0.097421152235049
"1080p_clip_10_codec_3_quality_6",3.57575757575758,1.00094652174526,3.68209330145113,0.100246273637152
"1080p_clip_12_codec_3_quality_4",3.5,0.861640436855329,3.30945098949397,0.104831277267335
"1080p_clip_2_codec_3_quality_3",3.61764705882353,0.817042185118868,3.52465379052363,0.077105754299515
"1080p_clip_3_codec_2_quality_2",2.81818181818182,0.583874208121142,2.60875136904874,0.09318852498673
"1080p_clip_4_codec_1_quality_1",2.09677419354839,0.74631712248335,2.07575848162437,0.091827494609448
"1080p_clip_5_codec_2_quality_2",3.44117647058824,0.859569182809418,2.93662872751466,0.093210431192429
"1080p_clip_7_codec_1_quality_1",2.38235294117647,0.69695032136131,1.9641245414536,0.098671250495929
"1080p_clip_7_codec_1_quality_2",3,0.866025403784439,2.65213839812484,0.092144586334817
"1080p_clip_7_codec_1_quality_6",3.91428571428571,1.01086534192038,4.4970214853126,0.098045805166911
"1080p_clip_7_codec_2_quality_1",1.26470588235294,0.447811075519899,1.12005374342832,0.054578519227373
"1080p_clip_7_codec_2_quality_3",3.34375,0.970845158910856,3.47599947274666,0.100952391567621
"1080p_clip_7_codec_2_quality_5",3.86486486486486,1.25082555321058,4.18529425034336,0.102928468055326
"1080p_clip_8_codec_2_quality_1",1.72222222222222,0.701472374412202,1.37588491768983,0.074460196757631
"1080p_clip_9_codec_1_quality_4",3.64516129032258,0.754912228751316,3.87718203182249,0.121092034256185
"360p_clip_1_codec_2_quality_1",1.78125,0.906406410306746,1.79805493379097,0.104967013997099
"360p_clip_10_codec_3_quality_2",2.42857142857143,0.97876615862897,2.50797804017154,0.050926815509104
"360p_clip_3_codec_2_quality_2",2.97058823529412,1.05845210359986,3.05446777636822,0.059363390320502
"360p_clip_4_codec_1_quality_1",2.21212121212121,0.857233039988826,1.66046394154329,0.077976324245647
